COGNATE PAIRS

ROMANIAN             PORTUGUESE           
jugular              jugular              
jugulare             jugular              
jujub                jujuba               
jujubă               jujuba               
jurământ             juramento            
jurasic              jurássico            
juridic              jurídico             
jurisdicție          jurisdição           
jurisdicțiune        jurisdição           
juriu                júri                 
just                 justo                
justifica            justificar           
justiția             justiça              
justiție             justiça              
juvenil              juvenil              
karibu               caribu               
ketchup              ketchup              
kilo                 quilo                
kilobait             kilobyte             
kilogram             quilograma           
kilolitru            quilolitro           
kilometra            quilométrica         
kilometraj           quilometragem        
kilometru            quilômetro           
kurd                 curdo                
labiat               labiado              
labil                lábil                
labirint             labirinto            
laborator            laboratório          
laborios             laborioso            
labru                labru                
lacerat              lacerado             
lacerație            laceração            
lacernă              lacernă              
lacheu               lacaio               
laconic              lacônico             
laconicum            laconicum            
lăcrămos             lacrimoso            
lacrimal             lacrimal             
lacrimatoriu         lacrimatoriu         
lacrimosa            lacrimosa            
lactalbumină         lactalbumina         
lactariu             lactariu             
lactație             lactação             
lactațiune           lactação             
lactază              lactase              
lactescent           lactescente          
lacună               lacuna               
lacustru             lacustre             
lagună               lagoa                
lalopatie            lalopatie            
lamă                 lâmina               
lamarckism           lamarckismo          
lambda               lambda               
lambdacism           lambdacism           
lamelă               lamela               
lamentabil           lamentavelmente      
lamentație           lamentação           
lamentațiune         lamentação           
lamento              lamento              
lamină               lâmina               
lampă                lâmpada              
lampion              lampião              
lampist              lampist              
lână                 lã                   
lance                lança                
lanceolat            lanceolado           
langustă             lagostim             
lană                 lã                   
lanolină             lanolina             
lanternă             lanterna             
lanțetă              lanceta              
lapalisadă           lapalisadă           
lapiaz               lapiaz               
lapili               lapili               
lapon                lapão                
lăptar               leiteiro             
lăptoasă             leitoso              
laptop               laptop               
lăptos               leitoso              
lar                  lar                  
larariu              larariu              
laringoscopie        laringoscopia        
laringotomie         laringotomie         
larvă                larva                
larvi                larva                
lăsa                 deixar               
lăsat                deixou               
lasciv               lascivo              
laser                laser                
latent               latente              
lateral              lateral              
laterit              laterita             
latex                látex                
laticlavă            laticlavă            
latifundiu           latifundiu           
latinism             latinismo            
latinist             latinist             
latinitate           latinidade           
latiniza             latinizar            
latrină              latrina              
latură               lado                 
lăudabil             louvável             
laudanum             láudano              
laudatio             laudatio             
lavă                 lava                 
lavand               lavanda              
lavandă              lavanda              
lazană               lasanha              
lazane               lasanha              
lazarone             lazarone             
lazulit              lazulite             
leader               líder                
lecitină             lecitina             
lecită               lecită               
lecție               lição                
lectoră              leitorado            
lectură              leitura              
legal                legal                
legalitate           legalidade           
legatar              legatário            
legatară             legatário            
legație              legação              
legato               legato               
legendă              lenda                
legibil              legibil              
legionar             legionário           
legislație           legislação           
legislativ           legislativo          
legislator           legislador           
legislatură          legislatura          
legitim              legítimo             
legitima             legítimo             
legiune              legião               
legumen              legume               
leguminos            leguminoso           
legumire             legumes              
leishmanioză         leishmaniose         
lela                 lela                 
lenitiv              lenitivo             
lenjerie             lingerie             
lenticular           lenticular           
lentisc              lentiscus            
leonin               leonino              
leopard              leopardo             
lepidolit            lepidolite           
lepton               lepton               
letal                letal                
letargic             letárgico            
letargie             letargia             
leton                letão                
leucemie             leucemia             
leucit               leucite              
leucocită            leucócito            
leucopenie           leucopenia           
leucopoieză          leucopoiese          
levit                levita               
levuloză             levulose             
lexic                léxico               
lexical              lexical              
lexicon              léxico               
leziune              lesão                
lia                  lia                  
liane                lianas               
libație              libação              
libațiune            libação              
liber                livre                
libera               livre                
liberal              liberal              
liberalism           liberalismo          
liberalist           liberalista          
libertar             libertário           
libertate            liberdade            
liberticid           liberticid           
libertin             libertino            
libertinaj           libertinagem         
libido               libido               
librar               livreiro             
libret               libreto              
licență              licença              
licențios            licencioso           
lichen               líquen               
lichid               líquido              
lichidus             liquidus             
lichior              licor                
licit                lícito               
licopodiu            licopodiu            
lictar               eleituário           
lictor               lictor               
lider                líder                
lidocaină            lidocaína            
lienografie          lienografie          
ligament             ligamento            
ligatură             ligadura             
ligni                linhita              
lignit               linhita              
ligroină             ligroina             
ligulă               ligulado             
liguli               ligulado             
liliaceŭ             liliáceo             
liliuță              lírio                
limfă                linfa                
limfatic             linfático            
limfatism            limfatism            
limicol              limicol              
liminar              liminar              
limită               limitar              
limitrof             limítrofe            
limonadă             limonada             
limpede              limpar               
limpezi              limpar               
limuzină             limusine             
linacee              linacee              
lineament            lineamento           
linear               linear               
lingerie             lingerie             
linghist             linghist             
linghistic           linghistic           
lingou               lingote              
lingulă              lingula              
lingvi               lingüistas           
lingvistică          linguística          
linie                linha                
liniar               linear               
linoleum             linóleo              
lînos                lanoso               
lipază               lipase               
lipemie              lipemia              
lipom                lipoma               
lipurie              lipurie              
liră                 libra                
liric                lírica               
lirism               lirismo              
listă                lista                
lista                lista                
listel               listel               
litanie              ladainha             
literal              literal              
literar              literário            
literare             literário            
literatură           literatura           
litigant             litigante            
litigantă            litigante            
litigios             litigioso            
litigiu              litígio              
litofit              litofit              
litofită             litofită             
litogeneză           litogênese           
litografie           litografia           
litologie            litologia            
litotritie           litotripsia          
litru                litro                
lituus               lituus               
livid                lívido               
livră                libra                
livrea               libré                
liză                 lise                 
lizol                lizol                
lob                  lóbulo               
lobotomie            lobotomia            
lobul                lóbulo               
local                local                
localiza             localizar            
localizare           localização          
locomoție            locomoção            
locomotivă           locomotiva           
locular              locular              
locupleta            locupleta            
locupletare          locupletare          
logaedic             logaedic             
logaritm             logaritmo            
logică               lógica               
logoclonie           logoclonie           
logograf             logograf             
logos                logos                
lojă                 alojamento           
loje                 lojas                
lombard              lombardo             
lomentă              lomentă              
longanimitate        longanimitate        
longevitate          longevidade          
looping              looping              
lordoză              lordose              
lot                  lote                 
loțiune              loção                
lubricitate          lubricidade          
lubrifia             lubrificar           
lubrifiant           lubrificante         
lubrifiere           lubrificação         
lucerne              luzerna              
lucid                lúcido               
lucifug              lucifug              
lucrativ             lucrativo            
luctuos              luctuos              
lugher               lugre                
lugubru              lúgubre              
lumbago              lumbago              
lumen                lúmen                
lunatic              lunático             
lunație              lunação              
lunațiune            lunático             
lunulă               lunula               
lupă                 lupa                 
lupei                lupa                 
luping               looping              
lupulină             lupulina             
lupus                lúpus                
lustral              lustral              
lustrație            lustração            
lustrațiune          lustração            
luteină              luteína              
lutier               luthier              
lux                  luxo                 
luxație              luxação              
luxațiune            luxação              
luxură               luxuria              
luxuriant            luxuriante           
macabru              macabro              
macaroană            macarrão             
macaroane            macarrão             
macaronic            macarrônico          
macaronism           macaronism           
macera               macerar              
macerație            maceração            
macerațiune          maceração            
macetă               machete              
machism              machismo             
macho                macho                
macis                macis                
maclă                macle                
maclat               macle                
macrameu             macramé              
macro                macro                
macrocit             macrocytes           
macrocosm            macrocosmo           
macrodontie          macrodontie          
macromelie           macromelie           
macropsie            macropsie            
macroscopie          macroscópica         
maculă               macular              
maculare             macular              
maculat              macular              
madam                madame               
madonă               madona               
madrepor             madrépora            
madrigal             madrigal             
mag                  mago                 
magie                magia                
magister             magister             
magisteriu           magistério           
magistral            magistral            
magistrat            magistrado           
magistratură         magistratura         
magmatic             magmática            
magnanim             magnanimamente       
magnetic             magnético            
magneto              magneto              
magneton             magneton             
magnetou             magneto              
magnetron            magnetron            
magnific             magnífico            
magnificență         magnificência        
magnolie             magnólia             
mahometism           mahometism           
mahon                mogno                
maiestate            majestade            
maieutică            maiêutica            
mână                 mão                  
maioneză             maionese             
majolică             majólica             
major                maior                
majordom             mordomo              
malar                malar                
malarie              malária              
maleabil             maleável             
malefic              maléfico             
maleficiu            maleficiu            
maleolă              maléolo              
malgaș               malgaxe              
malgașă              malgaxe              
malic                málico               
malign               maligno              
malignitate          malignidade          
maliție              malícia              
malițios             maliciosamente       
malonic              malonico             
malpraxis            malversação          
malț                 malte                
malvaceŭ             malvaceŭ             
mamalogie            mamalogie            
mameluc              mameluco             
mamifer              mamífero             
mamut                mamute               
mandat               mandato              
mandibulă            mandíbula            
mandolă              mandola              
mandolină            mandolim             
mandoră              mandore              
mandrină             mandril              
mânec                manga                
mânecă               manga                
mânecat              manga                
manevră              manobra              
manevrare            manobrando           
maniac               maníaco              
manichiură           manicure             
manie                mania                
manifestație         manifestação         
manifestațiune       manifestação         
maniheism            maniqueísmo          
maniheist            maniqueísta          
manivelă             manivela             
manometru            manômetro            
mansion              mansão               
mantelet             mantelete            
mantilă              mantilha             
mantisă              mantissa             
manual               manual               
manuală              manual               
manubriu             manubriu             
manuscris            manuscrito           
manutențiune         manutenţiune         
maoism               maoísmo              
maoist               maoísta              
marabu               marabu               
maraschino           marasquino           
marcasit             marcasite            
marcasită            marcasite            
maree                maré                 
maregraf             maregraf             
mareșal              marechal             
margarină            margarina            
margrafiat           margrafiat           
margrav              margrave             
marin                marinha              
marină               marinha              
marinat              marinado             
mărinimie            magnanimidade        
mărinimos            magnânimo            
marino               marino               
marital              marital              
maritim              marítimo             
marketing            marketing            
marmorean            marmóreo             
marmoreu             marmoreu             
maro                 marrom               
maron                marrom               
marș                 marcha               
marșă                marcha               
marțial              marcial              
martir               mártir               
martiră              mártir               
martiriu             martírio             
martirologie         martirologie         
martirologiu         martirologiu         
maruflă              maruflă              
maruflare            maruflare            
maruflat             maruflat             
maruflu              maruflu              
masacra              massacre             
masacru              massacre             
masaj                massagem             
mascarpone           mascarpone           
mascotă              mascote              
masculin             masculino            
maser                maser                
maseter              masseter             
mașinație            maquinação           
masonerie            maçonaria            
masonic              maçônico             
mast                 mastro               
mastaba              mastaba              
mastectomie          mastectomia          
mastic               mástique             
mastică              mástique             
masticațiune         mastigação           
mastită              mastite              
mastodont            mastodonte           
mastopatie           mastite              
matematic            matemático           
matematică           matemática           
material             material             
materialism          materialismo         
materialist          materialista         
matern               maternal             
maternal             maternal             
maternitate          maternidade          
matinal              matutino             
matineu              matinê               
mătrăgună            mandragora           
matri                matriz               
matriarhat           matriarcado          
matrice              matriz               
mătrice              matriz               
matricid             matricídio           
matrimonial          matrimonial          
matrimoniu           matrimoniu           
matroană             matrona              
matronă              matrona              
maturitate           maturidade           
maus                 mouse                
mausoleu             mausoléu             
maxilă               maxila               
maxilar              maxilar              
maxili               maxila               
maxim                máximo               
maximă               máximo               
maximalist           maximalista          
maximum              máximo               
mazurcă              mazurca              
meato                meato                
mecanic              mecânico             
mecanică             mecânica             
mecanism             mecanismo            
mecaniza             mecanizar            
mecanizare           mecanização          
mecanoterapie        mecanoterapia        
meconiu              mecônio              
medial               medial               
mediastin            mediastino           
mediație             mediação             
mediator             mediador             
medic                médico               
medical              médico               
medicastru           medicastru           
medicație            medicação            
medicațiune          medicação            
medicină             medicina             
medicinal            medicinal            
medico               médico               
medie                média                
medieval             medieval             
medievală            medieval             
mediocritate         mediocridade         
mediocru             medíocre             
medita               meditar              
meditație            meditação            
meditațiune          meditação            
mediteran            mediterrânico        
medulo               medula               
mefistofelic         mefistofélico        
megalezii            megalezii            
megalhepatie         megalhepatie         
megalomanie          megalomania          
megametru            megametru            
meioză               meiose               
melamină             melamina             
melancolie           melancolia           
melanină             melanina             
melanodermie         melanodermie         
meli                 meli                 
meliorism            meliorismo           
melomelie            melomelie            
melopeie             melopeie             
membră               membro               
membrană             membrana             
membranaceu          membranaceu          
membru               membro               
memora               lembrar              
memorabil            memorável            
memorandum           memorando            
memorie              memória              
memorial             memorial             
memorii              memórias             
mendeleeviu          mendeleeviu          
menestrel            menestrel            
menhir               menir                
menisc               menisco              
meniu                menu                 
menopauză            menopausa            
menoragie            menorragia           
menstre              menstruação          
menstrual            menstrual            
menstruație          menstruação          
menstrue             menstrual            
ment                 mento                
mental               mental               
mente                mentos               
mențiune             mencionar            
mentor               mentor               
menuet               minueto              
mercantil            mercantil            
mercenar             mercenário           
merceo               merceo               
merceriza            mercerizar           
mercurial            mercurial            
meridian             meridiano            
meridiană            meridiano            
meridional           meridional           
merinos              merino               
meristem             meristema            
meritoriu            meritório            
merlon               merlão               
merovingian          merovíngia           
mesager              mensageiro           
mesageră             mensageiro           
mesaj                mensagem             
mesia                messias              
mesianic             messiânico           
mesianism            messianismo          
mesianist            mesianist            
mesmerian            mesmerianas          
messidor             messidor             
metabolism           metabolismo          
metacarp             metacarpo            
metacromatism        metacromatism        
metafizic            metafísico           
metafizică           metafísica           
metaforă             metáfora             
metafrază            metáfrase            
metageneză           metagênese           
metagramă            metagramă            
metal                metal                
metaldehidă          metaldeído           
metalepsă            metalepsă            
metalescent          metalescent          
metalic              metálico             
metalifer            metalífero           
metalimbaj           metalinguagem        
metalo               metal                
metamer              metameric            
metamerie            metameria            
metamorfism          metamorfismo         
metamorfoză          metamorfose          
metan                metano               
metasomatoză         metasomatosis        
metastază            metástase            
metateză             metátese             
meteor               meteoro              
meteori              meteoros             
meticulos            meticuloso           
metil                metilo               
metilen              metileno             
metisa               mestiço              
metod                método               
metodă               método               
metodist             metodista            
metonimie            metonímia            
metralgie            metralgie            
metri                metros               
metric               métrico              
metrică              métrica              
metrită              metrite              
metro                metro                
metrocel             metrocel             
metrologie           metrologia           
metronom             metrónomo            
metropatie           metropatie           
metropolă            metrópole            
metropolitan         metropolitano        
metroree             metroree             
metru                metro                
mezencefal           mesencéfalo          
mezo                 meso                 
mezocarp             mesocarpo            
mezofit              mesófilos            
mezofită             mesófilos            
mialgie              mialgia              
miasmă               miasma               
micetofag            micetofag            
micoză               micose               
micro                micro                
microcip             microchip            
microcomputer        microcomputador      
microcosm            microcosmo           
microdontie          microdontie          
microfon             microfone            
microftalmie         microftalmia         
microglosie          microglosie          
micrografie          micrografia          
micrometru           micrômetro           
micron               mícron               
microprocesor        microprocessador     
micropsie            microps              
microscop            microscópio          
microseism           microseism           
microtom             microtome            
micterism            micterism            
micțiune             micção               
midriatic            mydriatic            
midriază             midríase             
mielină              mielina              
mielită              mielite              
mieloblast           mielóide             
migra                migrar               
migrat               migrou               
migrațiune           migração             
milenar              milenar              
milezian             milezian             
mili                 mili                 
miliariu             miliariu             
miligram             miligrama            
mililitru            mililitro            
milimetru            milímetro            
milioane             milhão               
milion               milhão               
milionar             milionário           
milionară            milionária           
milita               militar              
militant             militante            
militar              militar              
miliție              milícia              
mim                  mimo                 
mimă                 mimo                 
mimoză               mimosa               
minaret              minarete             
mina                 mina                 
mînec                manga                
minei                mina                 
mineral              mineral              
mineraliza           mineralização        
mineralizare         mineralização        
mineralogie          mineralogia          
mineralurgie         mineralurgie         
minereu              minério              
miniatură            miniatura            
minim                mínimo               
minimum              mínimo               
minister             ministério           
ministru             ministro             
miniu                mínio                
minor                menor                
minus                menos                
minuscul             minúsculo            
minuție              minúcia              
miocard              miocárdio            
miograf              miograf              
miop                 míope                
mioplastie           mioplastie           
miorafie             miorafie             
miotomie             miotomia             
miozină              miosina              
miozotis             miozotis             
miracol              milagre              
miracul              milagre              
miraj                miragem              
miriadă              miríade              
mirmilon             mirmilon             
mirobolant           mirobolant           
mirt                 murta                
miscelaneu           miscelânea           
miscibil             miscível             
misiune              missão               
misivă               missiva              
mister               mistério             
mistic               místico              
mistică              místico              
mistifica            mistificar           
mistificare          mistificação         
mistral              mistral              
mit                  mito                 
mitacism             mitacism             
mitic                mítico               
mitică               mítico               
mitologic            mitológico           
mitologie            mitologia            
mitoză               mitose               
mitră                mitra                
mitralie             metralha             
mitralia             metralhadora         
mitralii             metralhadora         
mixedem              mixedema             
mixom                myxoma               
mixt                 misto                
mixta                misto                
mixte                misto                
mixtiune             misto                
mixtură              mistura              
mizerabil            miserável            
mizericordie         mizericordie         
mizerie              miséria              
mobbing              mobbing              
mobil                móvel                
mobilă               mobiliário           
mobile               móvel                
mobili               móvel                
mobilitate           mobilidade           
modă                 moda                 
mode                 modo                 
model                modelo               
modera               moderada             
moderat              moderada             
moderație            moderação            
moderațiune          moderação            
moderato             moderato             
modern               moderno              
modest               modesto              
modestie             modéstia             
modist               modista              
modistă              modista              
modul                módulo               
modula               modular              
modulație            modulação            
modulațiune          modulação            
molar                molar                
molare               molar                
molesta              molestar             
molestare            molestação           
molibden             molibdênio           
molluscum            molusco              
molusc               molusco              
moluscum             moluscum             
moment               momento              
momentan             momentâneo           
monadelf             monadelf             
monahal              monachal             
monarh               monarca              
monarhi              monarcas             
monarhie             monarquia            
monedă               moeda                
monetar              monetário            
monetiza             monetizar            
monism               monismo              
monist               monístico            
monitor              monitor              
monocarp             monocarp             
monocit              monócitos            
monoclu              monóculo             
monodie              monódia              
monofizit            monofisita           
monogam              monogâmico           
monogamie            monogamia            
monogeneză           monogeneză           
monogenic            monogenic            
monogenism           monogenismo          
monografie           monografia           
monoideism           monoideísmo          
monolit              monolito             
monolog              monólogo             
monom                monômio              
monomanie            monomania            
monometalism         monometalismo        
mononucleoză         mononucleose         
monoplan             monoplano            
monoplegie           monoplegie           
monosilab            monossilábico        
monosilabă           monossílabo          
monosperm            monosperma           
monoteism            monoteísmo           
monoteist            monoteísta           
monoton              monótono             
monovalent           monovalente          
monoxilă             monoxilă             
monozoic             monozoic             
monstru              monstro              
monstruos            monstruoso           
mont                 mont                 
montan               montanha             
montana              montana              
monticol             monticola            
monticul             monticul             
monument             monumento            
monumental           monumental           
moral                moral                
morală               moral                
moralitate           moralidade           
moratorie            moratorie            
morbid               mórbido              
mordacitate          mordacitate          
morenă               morena               
morfic               mórfica              
morfină              morfina              
morfinomanie         morphinomania        
morgă                morgue               
morganatic           morganático          
morion               morrião              
moro                 moro                 
moros                moros                
mortadelă            mortadela            
mortal               mortal               
mortificațiune       mortificação         
mortuar              mortuário            
morulă               mórula               
moscovit             moscovita            
motilitate           motilidade           
motor                motor                
mozaic               mosaico              
mucus                muco                 
mudejar              mudéjar              
muezin               muezim               
muflon               muflão               
muftiu               mufti                
muget                mugido               
mugi                 mugido               
mugind               mugido               
mugire               mugire               
mul                  muitos               
multi                muitos               
multifid             multifida            
multiform            multiforme           
multiplica           multiplicar          
multiplicabil        multiplicable        
multiplicand         multiplicando        
multiplicație        multiplicativo       
multiplicațiune      multiplicativo       
multiplicator        multiplicador        
multiplicitate       multiplicidade       
multiplu             múltiplo             
mundan               mundano              
municipal            municipal            
munific              munific              
muniție              munição              
munițiune            munição              
mural                mural                
muribund             moribundo            
murmura              murmurar             
musaget              musaget              
muschetă             mosquete             
musculatură          musculatura          
musculos             musculoso            
muselină             musselina            
mustelid             mustelídeos          
musulman             muçulmano            
mutabil              mutável              
mutabilitate         mutabilidade         
mutație              mutação              
mutila               mutilar              
mutilat              mutilados            
mutilațiune          mutilado             
mutism               mutismo              
mutual               mútuo                
mutualism            mutualismo           
muză                 musa                 
muze                 musas                
muzeu                museu                
muzică               música               
muzical              musical              
muzicoterapie        musicoterapia        
nacrit               nacrite              
naftă                nafta                
naftalină            naftalina            
naiadă               náiade               
nailon               nylon                
nanism               nanismo              
napalm               napalm               
napoleon             napoleão             
nara                 narrar               
narator              narrador             
narcis               narciso              
narcolepsie          narcolepsia          
narcoză              narcose              
nard                 nardo                
năruit               ruiu                 
narval               narval               
natație              natação              
nație                nação                
națiune              nação                
nativ                nativo               
natură               natureza             
natural              natural              
naturalii            naturalii            
naturalitate         naturalidade         
naufragiu            naufrágio            
nausea               náusea               
nautic               náutico              
nautică              náutico              
naval                naval                
navicular            navicular            
navigabil            navegável            
navigație            navegação            
navigațiune          navegação            
navigatoare          navegadores          
navigator            navegador            
nazal                nasal                
nazală               nasal                
nebulos              nebuloso             
nebulozitate         nebulosidade         
necesar              necessário           
necesitate           necessidade          
necro                necro                
necrobioză           necrobiosis          
necrofobie           necrofobie           
necrofor             necro                
necromanție          necromancia          
necropolă            necrópole            
necropsie            necropsia            
necrotomie           necrotomie           
necroză              necrose              
necrozare            necrose              
nectar               néctar               
nectari              néctar               
nectarină            nectarina            
nefrectomie          nefrectomia          
nefritic             nefrítico            
nefrocel             nefrocel             
nefrotomie           nefrotomie           
nega                 negar                
negație              negação              
negațiune            negativamente        
negativ              negativo             
negativa             negativo             
negatoscop           negatoscópio         
negocia              negociar             
negociator           negociador           
nenufar              nenúfar              
neocortex            neocortex            
neofit               neófito              
neofită              neófito              
neolitic             neolítico            
neologism            neologismo           
neon                 néon                 
neoplasm             neoplasma            
neoplazie            neoplasia            
neozoic              neozóico             
nepoată              neta                 
nepot                neto                 
nepotism             nepotismo            
nerv                 nervo                
nervi                nervos               
nervos               nervoso              
neuroleptic          neurolépticos        
neutra               neutro               
neutro               neutro               
neutru               neutro               
nex                  nexo                 
nichel               níquel               
nicotină             nicotina             
nidicol              nidicol              
nidus                ninho                
nihilism             niilismo             
nihilist             niilista             
nilgau               nilgó                
nimbus               nimbo                
nimfă                ninfa                
nimfe                ninfas               
nimfeacee            nimfeacee            
nimfomanie           ninfomania           
nișă                 nicho                
nisetru              esturjão             
nitril               nitrílica            
nitro                nitro                
nitros               nitroso              
