COGNATE PAIRS

ROMANIAN             ITALIAN              
proclamație          proclamazione        
proconsul            proconsole           
proconsular          proconsolare         
proconsulat          proconsolato         
procrea              procreare            
procreație           procreazione         
procreațiune         procreazione         
proctalgie           proctalgia           
proctologie          proctologia          
procurator           procuratore          
procuror             procuratore          
prodiga              prodigo              
produc               produrre             
produce              produrre             
product              prodotto             
profan               profano              
profana              profano              
profesie             professione          
profesiogramă        professione -        
profesiune           professione          
profet               profeta              
profuziune           profusione           
progenitor           progenitore          
progresie            progressione         
progresiune          progressione         
proiect              progetto             
proiecție            proiezione           
prolaps              prolasso             
prolegomene          prolegomeni          
prolifer             proliferazione       
proliferare          proliferazione       
prolix               prolisso             
promiscuu            promiscuo            
promite              promettere           
promoțiune           promotore            
promotoare           promotore            
promotor             promotore            
promova              promuovere           
promulga             promulgare           
pronominal           pronominale          
pronostic            prognostico          
pronume              pronome              
propaga              propagare            
propagandă           propaganda           
propensiune          propensione          
propionic            propionico           
proporție            proporzione          
proporții            proporzione          
proporționalitate    proporzionalità      
proporțiune          proporzione          
propriu              proprio              
proprietar           proprietario         
proprietară          proprietario         
proprietate          proprietà            
propulsie            propulsione          
propune              proporre             
proscrie             proscrivere          
prospect             prospetto            
prosperitate         prosperità           
prostată             prostata             
prostituată          prostituta           
prostitută           prostituta           
prostituție          prostituzione        
protază              protasi              
protecție            protezione           
protecționism        protezionismo        
protector            protettore           
proteja              proteggere           
protestant           protestante          
protestantism        protestantesimo      
protocol             protocollo           
prototip             prototipo            
protuberanță         protuberanza         
provensal            provenzale           
provensală           provenzale           
proverb              proverbio            
proverbial           proverbiale          
providențial         provvidenziale       
provider             provider             
provincial           provinciale          
provocație           provocazione         
provocator           provocatorio         
proză                prosa                
prozelitism          proselitismo         
prozodie             prosodia             
prurigo              prurigo              
prurit               prurito              
prusic               prussico             
psalm                salmo                
psalmist             salmista             
psi                  psi                  
ptomaină             ptomaina             
ptoză                ptosi                
pubertate            pubertà              
pubescent            pubescente           
publican             pubblicano           
publicist            pubblicista          
publicistă           pubblicista          
publicitate          pubblicità           
puding               budino               
puerperal            puerperale           
pulmon               polmone              
pulpos               polposo              
pulsar               pulsar               
pupăză               upupa                
pupilă               pupilla              
pupilar              pupillare            
pur                  puro                 
pură                 puro                 
purgare              purgare              
purgație             purgazione           
purism               purismo              
purist               purista              
puritan              puritano             
puroi                pus                  
purulent             purulento            
putativ              putativo             
putativă             putativo             
putrefacție          putrefazione         
putrescibil          putrescibile         
putrid               putrido              
quadrivium           quadrivio            
rabic                rabbia               
rabinic              rabbinico            
racemi               racemo               
radiar               radiale              
radiație             radiazione           
radiațiune           radiazione           
radioactiv           radioattivo          
radioactivitate      radioattività        
radius               raggio               
raliere              rally                
ramazan              ramadan              
ramură               ramo                 
rânced               rancido              
râncezi              rancido              
ranch                ranch                
rang                 rango                
râs                  riso                 
ratafia              ratafia              
ratieră              ratieră              
ratinare             ratinare             
ravieră              raviera              
raz                  raz                  
râde                 ridere               
realitate            realtà               
rebel                ribelle              
receptacul           ricettacolo          
recepție             ricezione            
receptiv             ricettivo            
reces                recesso              
recesiune            recessione           
rechiziție           requisizione         
recipe               ricetta              
reciprocitate        reciprocità          
recita               recitare             
recrea               ricreare             
recreație            ricreazione          
recrudescență        recrudescenza        
rect                 retto                
rectifica            rettificare          
recto                recto                
rector               rettore              
rectum               retto                
reduce               ridurre              
redundanță           ridondanza           
refectoriu           refettorio           
referentă            referente            
reflecta             riflettere           
reflecție            riflessione          
reflector            riflettore           
reflexie             riflesso             
reflux               riflusso             
reformator           riformatore          
reformist            riformista           
refractar            refrattario          
refracție            rifrazione           
refracțiune          rifrazione           
refugiu              rifugio              
regenera             rigenerare           
regenerat            rigenerare           
regim                regime               
regină               regina               
regresiune           regressione          
regulat              regolare             
reificare            reificazione         
religiune            religione            
remediabil           rimediabile          
remisiune            remissione           
renal                renale               
reni                 renna                
renunța              rinunciare           
renunțare            rinuncia             
reparație            riparazione          
reparațiune          riparazione          
repercusiune         ripercussione        
repertoriu           repertorio           
repetiție            ripetizione          
repetițiune          ripetizione          
represor             repressore           
reprezenta           rappresentare        
reprezentațiune      rappresentazione     
reprima              reprimere            
reptil               rettile              
repulsie             repulsione           
repulsiune           repulsione           
resciziune           rescissione          
rescript             rescritto            
resonator            risonatore           
respecta             rispetto             
respira              respirare            
respirație           respirazione         
respirațiune         respirazione         
restaurant           ristorante           
restaurator          restauratore         
restituție           restituzione         
restituțiune         restituzione         
restricție           restrizione          
restricțiune         restrizione          
restrictiv           restrittivo          
resurecție           resurrezione         
resursă              risorsa              
retenție             ritenzione           
reticență            reticenza            
reticulo             reticolo             
retracție            ritrazione           
retribuție           retribuzione         
retrocesiune         retrocessione        
retrogradație        retrogradazione      
retrogradațiune      retrogradazione      
revanșism            revanscismo          
revela               rivelare             
revelație            rivelazione          
revelațiune          rivelazione          
reverend             reverendo            
reverendă            reverendo            
reverență            riverenza            
reversie             reversione           
reversiune           reversione           
reviziune            revisione            
revoca               revocare             
revocabil            revocabile           
revoluție            rivoluzione          
revoluționa          rivoluzionare        
revoluționar         rivoluzionario       
revoluțiune          rivoluzione          
revulsiv             revulsivo            
rezecție             resezione            
rezină               resina               
rezista              resistere            
rezoluție            risoluzione          
ricșă                risciò               
ridicul              ridicolo             
rigă                 re                   
rigorist             rigorista            
rivalitate           rivalità             
rizibil              risibile             
robă                 robe                 
robust               robusto              
rococo               rococò               
rodeo                rodeo                
roibă                robbia               
rol                  ruolo                
rombo                rombo                
rostral              rostrale             
rostru               rostro               
rotație              rotazione            
rotațiune            rotazione            
rotulă               rotula               
rublă                rublo                
rudiment             rudimento            
rummy                ramino               
rupicol              rupicola             
rural                rurale               
rusifica             russificare          
rustic               rustico              
rusticitate          rusticità            
rutil                rutilo               
sabotaj              sabotaggio           
șacal                sciacallo            
sacerdotal           sacerdotale          
sacrifica            sacrificare          
sacrificare          sacrificare          
sacrileg             sacrilego            
sacrilege            sacrilegio           
sacro                sacro                
sacrosanct           sacrosanto           
sadism               sadismo              
safari               safari               
safism               saffismo             
safranină            safranina            
sagu                 sagu                 
șal                  scialle              
salamandră           salamandra           
salangană            salangană            
salbandă             salbandă             
sali                 sale                 
salivă               saliva               
salivare             salivare             
salivație            salivazione          
salivațiune          salivazione          
salmon               salmone              
salubru              salubre              
salutar              salutare             
salvator             salvatore            
salvie               salvia               
sambă                samba                
șambelan             ciambellano          
samovar              samovar              
sân                  seno                 
sanatoriu            sanatorio            
sanctifica           santificare          
sanctuar             santuario            
sandarac             sandracca            
sânge                sangue               
sângera              sanguinare           
sângerând            sanguinamento        
sângerare            sanguinamento        
sanguin              sanguine             
sanguină             sangue               
sangvin              sangue               
sano                 sano                 
santal               sandalo              
santină              sentina              
sapient              sapiente             
săptămână            settimana            
saramură             salamoia             
sarcasm              sarcasmo             
sarcofag             sarcofago            
sardonic             sardonico            
șarnieră             cerniera             
satană               satana               
sațietate            sazietà              
satiră               satira               
satiric              satirico             
satisface            soddisfare           
satrap               satrapo              
satrapie             satrapia             
saturație            saturazione          
saturațiune          saturazione          
savană               savana               
saxifragă            sassifraga           
scalar               scalare              
scalen               scaleno              
scandaliza           scandalizzare        
scânteie             scintilla            
scapulă              scapola              
scatologie           scatologia           
scăŭnel              sgabello             
sceptic              scettico             
sceptru              scettro              
schematism           schematismo          
schismă              scisma               
sciatic              sciatico             
scintilație          scintillazione       
sclav                schiavo              
sclavă               schiavo              
scolastic            scolastica           
scolastică           scolastica           
scolex               scolice              
scolie               scolio               
scorpion             scorpione            
scotie               scozia               
scrot                scroto               
scrupulozitate       scrupolosità         
sculptor             scultore             
sculptură            scultura             
scut                 scudo                
sebo                 sebo                 
sebum                sebo                 
secesiune            secessione           
secetă               siccità              
sechestra            sequestrare          
secret               segreto              
secretar             segretario           
secretară            segretario           
secreție             secrezione           
secrețiune           segreto              
sectă                setta                
sectant              settario             
sectantă             settario             
secție               sezione              
secțiune             sezione              
sector               settore              
secular              secolare             
secundi              secondo              
sedativ              sedativo             
sedentar             sedentario           
sedez                sedare               
sediment             sedimento            
sedimento            sedimento            
sedițios             sedizioso            
sedițiune            sedizione            
seduce               sedurre              
seducție             seduzione            
șef                  capo                 
segment              segmento             
segregație           segregazione         
selecție             selezione            
sema                 sema                 
semantic             semantica            
semantică            semantica            
semasiologie         semasiologia         
semestru             semestre             
seminal              seminale             
seminar              seminario            
senatoare            senatore             
senator              senatore             
sene                 sene                 
senil                senile               
senilia              senile               
sens                 senso                
sensibilitate        sensibilità          
sensor               sensore              
sensual              sensuale             
sentențios           sentenzioso          
sentimentalism       sentimentalismo      
senzor               sensore              
separabil            separabile           
separație            separazione          
separațiune          separazione          
separator            separatore           
septemvrie           settembre            
septic               settico              
septuagintă          settanta             
sepulcral            sepolcrale           
ser                  siero                
serafic              serafico             
serai                serraglio            
serenitate           serenità             
sergent              sergente             
șerif                sceriffo             
seră                 serra                
serpentin            serpentino           
servitudine          servitù              
servitute            servitù              
sesiune              sessione             
set                  set                  
seta                 set                  
sex                  sesso                
sexagesimal          sessagesimale        
sexual               sessuale             
sexy                 sexy                 
sferic               sferico              
sfincter             sfintere             
sfragistic           sfragistica          
sfragistică          sfragistica          
sica                 sica                 
sicofant             sicofante            
sideral              siderale             
siestă               siesta               
silabă               sillaba              
silabic              sillabico            
șiling               scellino             
silogism             sillogismo           
silvia               silvia               
simbolic             simbolico            
simbolică            simbolico            
șimi                 shimmy               
simoniac             simoniaco            
simplicitate         semplicità           
simplifica           semplificare         
simula               simulare             
simulacru            simulacro            
simulație            simulazione          
simun                simun                
sinapsă              sinapsi              
sinceritate          sincerità            
sincopă              sincope              
sindic               sindaco              
sindicalism          sindacalismo         
sindicalist          sindacalista         
sindicalistă         sindacalista         
sindrom              sindrome             
sinecdocă            sineddoche           
sinereză             sineresi             
singular             singolare            
singularitate        singolarità          
singur               singolo              
sinistra             sinistro             
sinistro             sinistro             
sinistru             sinistro             
sinodal              sinodale             
sinoptic             sinottico            
sinoptică            sinottico            
sintaxă              sintassi             
sintetic             sintetico            
sinucidere           suicidio             
sinucigàș            suicidio             
sinucigașă           suicidio             
sinuos               sinuoso              
sire                 sire                 
siringă              siringa              
sistolă              sistole              
sit                  sito                 
situlă               sito                 
sobrietate           sobrietà             
sobru                sobrio               
sociabil             socievole            
sofism               sofisma              
sofist               sofista              
sofistă              sofista              
solar                solare               
solari               solare               
solarizare           solarizzazione       
solear               soleo                
solemnitate          solennità            
solid                solido               
soliditate           solidità             
solipsism            solipsismo           
solubil              solubile             
soluție              soluzione            
soluțiune            soluzione            
somnambul            sonnambulo           
somnambulă           sonnambulismo        
somnolență           sonnolenza           
sondaj               sondaggio            
sondare              sonda                
sonda                sonda                
sonoritate           sonorità             
sopori               sopore               
sordid               sordido              
sosie                sosia                
șovinism             sciovinismo          
spațios              spazioso             
spatulă              spatola              
specialitate         specialità           
specios              specioso             
spectator            spettatore           
spectru              spettro              
speculație           speculazione         
speculațiune         speculazione         
spermă               sperma               
spinàl               spinale              
spinos               spinoso              
spiral               spirale              
spiritualitate       spiritualità         
splanhnic            splancnico           
splendid             splendido            
splendoare           splendore            
sponsor              sponsorizzare        
spontan              spontaneo            
sport                sport                
șprat                spratto              
sprint               sprint               
sprue                sprue                
stagflație           stagflazione         
stalactită           stalattite           
stamini              stame                
stare                stato                
stasimon             stasimo              
stater               statere              
staționar            stazionario          
statuă               stato                
statuar              statuario            
statuară             statuario            
statuie              statua               
status               stato                
staurolit            staurolite           
stază                stasi                
stearic              stearico             
stearină             stearina             
stelar               stellare             
stepă                steppa               
steril               sterile              
sterilitate          sterilità            
stetoscop            stetoscopio          
stigmă               stigma               
stigmat              stigma               
stigmati             stigma               
stilo                stilo                
stimul               stimolo              
stimula              stimolare            
stipendiŭ            stipendio            
stipul               stipe                
stipula              stipulare            
stipulație           stipulazione         
stipulațiune         stipulazione         
stoic                stoico               
stovaină             stovaină             
strangula            strangolare          
stratosferă          stratosfera          
stricnină            stricnina            
stridor              stridore             
strigil              strigile             
stromă               stroma               
structură            struttura            
stupid               stupido              
stupiditate          stupidità            
suav                 soave                
suave                soave                
suavitate            soavità              
subaltern            subalterno           
subiectiv            soggettivo           
subiectiva           soggettivo           
subjecțiune          soggetto             
sublimat             sublimare            
sublimitate          sublimità            
subrogație           surrogazione         
subsidiar            sussidiario          
substanță            sostanza             
substanțialitate     sostanzialità        
substantiv           sostantivo           
substituție          sostituzione         
subteran             sotterraneo          
subterfugiŭ          sotterfugio          
subtil               sottile              
subversiune          sovversione          
subversiv            sovversivo           
subzista             sussistere           
subzistență          sussistenza          
succesiune           successione          
succesoare           successore           
succesor             successore           
sucomba              soccombere           
sudamină             sudamina             
sufix                suffisso             
sufleu               souffle              
sufoca               soffocare            
sufragiŭ             suffragio            
sugera               suggerire            
suicid               suicidio             
sulfuric             solforico            
sultan               sultano              
sumac                sommacco             
superb               superbo              
superficial          superficiale         
superfluu            superfluo            
superior             superiore            
superioritate        superiorità          
superlativ           superlativo          
superstiție          superstizione        
superstițios         superstizioso        
supervizor           supervisore          
supinație            supinazione          
supinator            supinatore           
supoziție            supposizione         
suprafață            superficie           
suprarealism         surrealismo          
suprarenal           surrenale            
suprem               supremo              
supremație           supremazia           
suprima              sopprimere           
supurație            suppurazione         
surditate            sordità              
susceptibil          suscettibile         
suspans              suspense             
suspenda             sospendere           
suspens              suspense             
suspensie            sospensione          
susține              sostenere            
susținere            sostenere            
tabes                tabe                 
tabulare             tabulare             
tacit                tacito               
tactică              tattica              
tactil               tattile              
talamo               talamo               
talar                talare               
tâmplă               tempio               
tanca                tanca                
tandem               tandem               
tangent              tangente             
tangibil             tangibile            
tanin                tannino              
țânțar               zanzara              
tardi                tardi                
tarpan               tarpan               
tartrat              tartrato             
tatu                 tatu                 
tatua                tatuaggio            
tatuare              tatuaggio            
taxi                 taxi                 
taxie                taxi                 
taxis                taxi                 
tebaină              tebaina              
tegument             tegumento            
teism                teismo               
temperament          temperamento         
temperatură          temperatura          
templu               tempio               
temporal             temporale            
temporală            temporale            
temporalitate        temporalità          
tenie                tenia                
tensiune             tensione             
teocrație            teocrazia            
teoremă              teorema              
teorie               teoria               
teozofie             teosofia             
terapie              terapia              
terestru             terrestre            
teribil              terribile            
terier               terrier              
teritorial           territoriale         
teritoriu            territorio           
termen               termine              
terminație           terminazione         
terminațiune         terminazione         
termistor            termistore           
ternar               ternario             
terorism             terrorismo           
terorist             terrorista           
teroriza             terrorizzare         
terțiar              terziario            
testator             testatore            
testicul             testicolo            
tetanos              tetano               
tetrarh              tetrarca             
tetrarhie            tetrarchia           
teurg                teurgia              
teurgie              teurgia              
text                 testo                
thesis               tesi                 
tiară                tiara                
tibie                tibia                
tigru                tigre                
timus                timo                 
tinctură             tintura              
tiran                tiranno              
tirană               tiranno              
tiranic              tirannico            
tiristor             tiristore            
titan                titanio              
titlu                titolo               
titular              titolare             
toamnă               autunno              
togă                 toga                 
tolera               tollerare            
tolerabil            tollerabile          
toleranță            tolleranza           
tolu                 tolu                 
toluidină            toluidina            
tonsură              tonsura              
tonus                tono                 
topaz                topazio              
topos                topos                
torefiere            torrefazione         
torero               torero               
torid                torrido              
torpoare             torpore              
torsiune             torsione             
tortă                torta                
tortuos              tortuoso             
tortuozitate         tortuosità           
total                totale               
tracțiune            trazione             
tractor              trattore             
traiectorie          traiettoria          
tramvai              tram                 
transă               trance               
tranșare             tranciatura          
transcendent         trascendente         
transcendental       trascendentale       
transcrie            trascrivere          
transcripție         trascrizione         
transcripțiune       trascrizione         
tranșee              trincea              
transept             transetto            
transfera            trasferire           
transferare          trasferire           
transfigura          trasfigurare         
transforma           trasformare          
transformist         trasformista         
transfuziune         trasfusione          
transgresa           trasgredire          
transgresiune        trasgressione        
transgresor          trasgressore         
transit              transito             
translucid           traslucido           
transmigrație        trasmigrazione       
transmigrațiune      trasmigrazione       
transmisibil         trasmissibile        
transmisiune         trasmissione         
transmuta            trasmutare           
transmutație         trasmutazione        
transparent          trasparente          
transplanta          trapiantare          
transportare         trasporto            
transpoziție         trasposizione        
transpune            trasporre            
tranzacție           transazione          
tranziție            transizione          
trapez               trapezio             
traumatic            traumatico           
traumatologie        traumatologia        
tremor               tremore              
tren                 treno                
trenă                treno                
trepang              trepang              
trepidațiune         trepidazione         
triangular           triangolare          
tribologie           tribologia           
tribulație           tribolazione         
tribulațiune         tribolazione         
tribunal             tribunale            
tribunat             tribunato            
tribunician          tribunizio           
tribut               tributo              
trichiază            trichiasi            
tricliniŭ            triclinio            
tricolor             tricolore            
tricorn              tricorno             
trident              tridente             
trienal              triennale            
trienală             triennale            
trihotomic           tricotomia           
trilingv             trilingue            
trimestru            trimestre            
trinitate            trinità              
triplu               triplo               
triptic              trittico             
triremă              trireme              
triumfa              trionfo              
triumfal             trionfale            
triunghiular         triangolare          
trofic               trofico              
trombus              trombo               
tron                 trono                
tropicalizare        tropicalizzazione    
trubadur             trovatore            
trucă                trucco               
truculent            truculento           
truculență           truculento           
truism               truismo              
tub                  tubo                 
tubă                 tuba                 
tubercul             tubercolo            
tubul                tubo                 
tumefia              tumefare             
tumoare              tumore               
tumul                tumulo               
tumult               tumulto              
tundră               tundra               
tunel                tunnel               
tunicat              tunicato             
tunicier             tunicati             
turbid               torbido              
turbină              turbina              
turbulent            turbolento           
turbulență           turbolenza           
tuși                 tossire              
tutu                 tutu                 
tweed                tweed                
ubicuitate           ubiquità             
ulcerație            ulcerazione          
ulnă                 ulna                 
ultimatum            ultimatum            
ultramontanism       ultramontanismo      
umanitate            umanità              
umbo                 umbone               
umilit               umile                
umilitate            umiltà               
umor                 umorismo             
umorist              umorista             
umoristă             umorista             
una                  uno                  
unanimitate          unanimità            
uncie                oncia                
unda                 onda                 
ungŭent              unguento             
unicorn              unicorno             
uniform              uniforme             
uniformă             uniforme             
uniformitate         uniformità           
unitate              unità                
universalitate       universalità         
universitate         università           
unu                  uno                  
unul                 uno                  
uraeus               ureo                 
uragan               uragano              
urbanitate           urbanità             
urnă                 urna                 
usca                 asciugare            
uscat                asciugare            
usuc                 asciugare            
uter                 utero                
uterin               uterino              
util                 utile                
utila                utile                
utilitate            utilità              
uvulă                ugola                
uzucapiune           usucapione           
uzufructuar          usufruttuario        
uzufructuară         usufruttuario        
uzurpa               usurpare             
uzurpator            usurpatore           
vaccină              vaccino              
vacuolă              vacuolo              
vag                  vago                 
vagin                vagina,              
vagină               vagina               
vago                 vago                 
valeriană            valeriana            
valgus               valgo                
valid                valido               
validitate           validità             
valon                vallone              
vals                 valzer               
valvulă              valvola              
vampir               vampiro              
vampirism            vampirismo           
vână                 vena                 
vandalism            vandalismo           
vanitate             vanità               
vapori               vapore               
vaporiza             vaporizzare          
vaporos              vaporoso             
variabil             variabile            
variabilă            variabile            
variație             variazione           
variațiune           variazione           
varicelă             varicella            
varia                variare              
varietate            varietà              
vario                vario                
variolă              vaiolo               
vasal                vassallo             
vâsc                 vischio              
vascular             vascolare            
vaselină             vaselina             
vastitate            vastità              
vectoare             vettore              
vector               vettore              
vegeta               vegetare             
vegetație            vegetazione          
vehemență            veemenza             
vehicul              veicolo              
vehiculare           veicolare            
velarium             velario              
veleitate            vela                 
venal                venale               
venalitate           venalità             
vendetta             vendetta             
venerabil            venerabile           
venos                venoso               
ventila              ventilare            
ventilare            ventilazione         
ventral              ventrale             
ventricul            ventricolo           
ventriloc            ventriloquo          
ventrilocă           ventriloquo          
venulă               venulă               
verb                 verbo                
verbal               verbale              
verbalism            verbalismo           
verbozitate          verbosità            
verdict              verdetto             
vernal               vernale              
versificațiune       versificazione       
versiune             versione             
verso                verso                
vertical             verticale            
verticală            verticale            
verucă               verruca              
vestală              vestale              
vestibul             vestibolo            
vestigiŭ             vestigio             
veteran              veterano             
veterană             veterano             
veto                 veto                 
vezică               vescica              
veziculă             vescicola            
vibice               vibice               
vibra                vibrare              
vicinal              vicinale             
victimă              vittima              
victoria             vittoria             
victorios            vittorioso           
vigilență            vigilanza            
vigonie              vigogna              
vilă                 villa                
vindicativ           vendicativo          
vinietă              vignetta             
virago               virago               
virga                virga                
virginitate          verginità            
virgulă              virgola              
viril                virile               
virilitate           virilità             
virulent             virulento            
virulență            virulenza            
virus                virus                
viscero              viscerale            
vîscos               viscoso              
vital                vitale               
vitalitate           vitalità             
vitamină             vitamina             
vitros               vitreo               
vituperare           vituperare           
vivacitate           vivacità             
vizibil              visibile             
vizigot              visigoto             
vizionar             visionario           
vizir                visir                
vizitare             visita               
vizita               visitare             
voaierism            voyeurismo           
vocabulă             vocabolo             
vocabular            vocabolario          
vocal                vocale               
vocație              vocazione            
vocațiune            vocazione            
vocativ              vocativo             
voce                 voce                 
volant               volano               
volatiliza           volatilizzare        
volei                volley-ball          
voltaic              voltaico             
volubilitate         volubilità           
voluptate            voluttà              
voluptos             voluttuoso           
voluptuos            voluttuoso           
volvulus             volvolo              
vomer                vomere               
voracitate           voracità             
vulcanizare          vulcanizzazione      
vulgar               volgare              
vulgaritate          volgarità            
vulgata              vulgata              
vulnerabil           vulnerabile          
vulvă                vulva                
zambo                zambo                
zebu                 zebù                 
zeie                 dea                  
zel                  zelo                 
zeolit               zeolite              
zice                 dire                 
zigomă               zigomo               
zircon               zircone              
zodiac               zodiaco              
zootehnie            zootecnia            
zuav                 zuavo                
zuluș                zulu                 
