COGNATE PAIRS

ROMANIAN             SPANISH              
impediment           impedimento          
impenetrabil         impenetrable         
imperativ            imperativo           
imperfect            imperfecto           
imperfecțiune        imperfección         
imperial             imperial             
imperială            imperial             
imperiu              imperio              
impersonal           impersonal           
impertinent          impertinente         
imperturbabil        imperturbable        
impetigo             impétigo             
impietate            impiedad             
implacabil           implacable           
implicație           implicación          
implicit             implícito            
importa              importar             
importare            importar             
importat             importado            
imposibil            imposible            
imposibilitate       imposibilidad        
impostoare           impostor             
impostor             impostor             
impostură            impostura            
impotent             impotente            
impotență            impotencia           
impozit              impuesto             
imprecație           imprecación          
imprecațiune         imprecación          
impregnat            impregnado           
impresie             impresión            
impresiune           impresión            
imprima              imprimir             
imprimare            imprimir             
imprimat             imprimir             
imprimatur           imprimátur           
impropriu            impropio             
imprudent            imprudente           
imprudență           imprudencia          
impuber              impúber              
impuls               impulso              
impulsiune           impulso              
impune               imponer              
impunitate           impunidad            
impur                impuro               
impuritate           impureza             
impus                impuesto             
imputa               imputar              
imputație            imputación           
imun                 inmune               
imund                inmundo              
imunitate            inmunidad            
imutabil             inmutable            
imutabilitate        inmutabilidad        
inaccesibil          inaccesible          
inalienabil          inalienable          
inamic               enemigo              
inanimat             inanimado            
inaugura             inaugurar            
incarna              encarnar             
incarnație           encarnaciones        
incarnațiune         encarnaciones        
incendiar            incendiario          
incert               incierto             
incest               incesto              
incestuos            incestuoso           
inchiziție           inquisición          
inchizitor           inquisidor           
incident             incidente            
incinera             incinerar            
incipient            incipiente           
incita               incitar              
incitat              incitado             
inciză               incisión             
incizie              incisión             
inciziv              incisión             
înclina              inclinar             
înclinare            inclinar             
înclinație           inclinación          
inclinațiune         inclinación          
inclino              inclino              
include              incluir              
inclus               incluido             
incluziune           inclusión            
incoativ             incoativo            
incolor              incoloro             
incomod              incómodo             
incongruent          incongruente         
incongruență         incongruencia        
inconstanță          inconstancia         
incontinent          incontinente         
incontinență         incontinencia        
incoruptibil         incorruptible        
incoruptibilitate    incorruptibilidad    
incredibil           increíble            
incredul             incrédulo            
incrimina            incriminar           
incriminat           incriminado          
incrustat            incrustado           
incubație            incubación           
incunabul            incunable            
incurabil            incurable            
incursiune           incursión            
incusă               yunque               
indecent             indecente            
indecență            indecencia           
indeclinabil         indeclinable         
indeterminabil       indeterminable       
indeterminat         indeterminado        
index                índice               
indica               indicar              
indicație            indicación           
indicațiune          indicación           
indicativ            indicativo           
indice               índice               
indiferent           indiferente          
indiferență          indiferencia         
indigen              indígena             
indigent             indigente            
indigest             indigesto            
indigestie           indigestión          
indignat             indignado            
indirect             indirecto            
indisciplină         indisciplina         
indistinct           indistinto           
indivizibil          indivisible          
indocil              indócil              
indolent             indolente            
indolență            indolencia           
induce               inducir              
inductanță           inductancia          
inducție             inducción            
inductiv             inductivo            
indulgent            indulgente           
indulgență           indulgencia          
indult               indulto              
indument             indumento            
industrie            industria            
inefabil             inefable             
ineluctabil          ineluctable          
inept                inepto               
inerent              inherente            
inert                inerte               
inerție              inercia              
inerva               inervado             
inestimabil          inestimable          
inexperiență         inexperiencia        
inexplicabil         inexplicable         
inexpugnabil         inexpugnable         
inextricabil         inextricable         
infam                infame               
infama               infame               
infamare             infamare             
infamie              infamia              
infanticid           infanticidio         
infantil             infantil             
infern               infierno             
infernal             infernal             
infesta              infestar             
infidel              infiel               
infidelitate         infidelidad          
infinit              infinito             
infinitate           infinito             
infinitezimal        infinitesimal        
infinitiv            infinitivo           
inflama              inflamar             
inflamație           inflamación          
inflamațiune         inflamación          
inflație             inflación            
inflexibil           inflexible           
inflexiune           inflexión            
inflige              inflige              
inflorescență        inflorescencia       
inform               informe              
informa              informar             
informație           información          
informațiune         información          
infra                infra                
infundibuliform      infundibuliforme     
infuza               infundir             
infuzie              infusión             
infuziune            infusión             
ingenios             ingenioso            
ingenuu              ingenuo              
ingera               ingerir              
ingestie             ingestión            
inghinal             inguinal             
ingratitudine        ingratitud           
ingredient           ingrediente          
inhala               inhalar              
inhalație            inhalación           
inhalațiune          inhalación           
inhiba               inhibir              
inhibiție            inhibición           
iniția               iniciar              
inițial              inicial              
inițială             inicial              
inițiațiune          iniciativa           
inițiativă           iniciativa           
inițiator            iniciador            
injecție             inyección            
injust               injusto              
injustiție           injusticia           
inocent              inocente             
inocență             inocencia            
inocula              inocular             
inoculat             inoculado            
inoculație           inoculación          
inoculațiune         inoculación          
inodor               inodoro              
inoportun            inoportuno           
inoportuna           inoportuno           
inova                innovar              
inovație             innovación           
insalubru            insalubre            
insațiabil           insaciable           
inscripție           inscripción          
insculpa             insculpa             
insectă              insecto              
insectivor           insectívoro          
insensibil           insensible           
insensibilitate      insensibilidad       
inseparabilitate     inseparabilidad      
inserție             inserción            
insidios             insidioso            
insipid              insípido             
insista              insistir             
insistare            insistir             
insolent             insolente            
insolență            insolencia           
insolit              insólito             
insolubil            insoluble            
insomnie             insomnio             
inspecție            inspección           
inspectoare          inspector            
inspector            inspector            
inspira              inspirar             
inspirație           inspiración          
inspirațiune         inspiración          
instala              instalar             
instalat             instalado            
instiga              instigar             
instigat             instigado            
instigator           instigador           
instilație           instilación          
instinct             instinto             
institut             instituto            
instituție           institución          
instituțiune         institución          
instructoare         instructora          
instructor           instructor           
instrument           instrumento          
insuficient          insuficiente         
insuficiență         insuficiencia        
insuflație           insuflación          
insulă               isla                 
insular              insular              
insultă              insultar             
insultat             insultado            
insurecție           insurrección         
intact               intacto              
integral             integral             
integrală            integral             
integritate          integridad           
integument           integumento          
intelect             intelecto            
intelecție           intelecto            
intelectual          intelectual          
inteligent           inteligente          
intens               intenso              
intercalat           intercalar           
intercede            interceder           
intercesiune         intercesión          
intercesor           intercesores         
interdicțiune        interdicción         
interes              interés              
interfață            interfaz             
interferon           interferón           
interior             interior             
interjecție          interjección         
intermediar          intermedio           
interminabil         interminable         
intermitent          intermitente         
intern               interno              
interna              interno              
interoga             interrogar           
interogativ          interrogativo        
interpela            interpelar           
interpola            interpolar           
interpolat           interpolados         
interpolație         interpolación        
interpolatoare       interpolación        
interpolator         interpolador         
interpoziție         interposición        
interpreta           interpretar          
interpune            interponer           
interregn            interregno           
intersecție          intersección         
interstițiu          intersticio          
interval             intervalo            
interveni            intervenir           
intervenire          intervenir           
intervenție          intervención         
intestin             intestino            
intim                íntimo               
intimă               íntimo               
intitulat            intitulado           
intolerabil          intolerable          
intoleranță          intolerancia         
intrând              entrar               
intranzitiv          intransitivo         
intrat               entró                
intrepid             intrépido            
intrinsec            intrínseco           
introduce            introducir           
introductor          introductor          
introdus             introducido          
introitus            introito             
intuiție             intuición            
inuman               inhumano             
inumanitate          inhumanidad          
inundație            inundación           
inutil               inútil               
invada               invadir              
invadat              invadido             
invalid              inválido             
invar                invar                
invazie              invasión             
invectivă            invectiva            
inventar             inventario           
invenție             invención            
inversiune           inversión            
inverti              invertir             
invertire            invertir             
invertit             invertir             
investiga            investigar           
investigație         investigación        
investigator         investigador         
invincibil           invencible           
inviolabil           inviolable           
invitație            invitación           
invitațiune          invitación           
invizibil            invisible            
invizibilitate       invisibilidad        
invoca               invocar              
invocație            invocación           
involucru            involucro            
involuntar           involuntario         
involuție            involución           
invulnerabil         invulnerable         
iperită              iperita              
ipocrit              hipócrita            
ipotecă              hipoteca             
ipotenuză            hipotenusa           
iradia               irradiar             
iradiație            irradiación          
iradiațiune          irradiación          
irațional            irracional           
ireconciliabil       irreconciliable      
irecuzabil           irrecusable          
ireligios            irreligioso          
ireparabil           irreparable          
irespirabil          irrespirable         
ireverență           irreverencia         
iris                 iris                 
iritabil             irritable            
iritabilitate        irritabilidad        
iritație             irritación           
iritațiune           irritación           
ironic               irónico              
ironie               ironía               
irupe                irrumpe              
irupție              irrupción            
irupțiune            irrupción            
islam                islam                
isoscel              isósceles            
isterie              histeria             
istm                 istmo                
istoria              historia             
istoric              histórico            
istorie              historia             
italic               itálico              
iterativ             iterativo            
iudaism              judaísmo             
iudeo                judío                
iulian               juliano              
izomer               isómero              
jad                  jade                 
jambon               jamón                
jantă                llanta               
jasp                 jaspe                
javelină             jabalina             
jejun                yeyuno               
jejuno               yeyuno               
jeleu                jalea                
jet                  jet                  
jugula               yugular              
jugulare             yugular              
jura                 jurar                
jurare               juró                 
juridic              jurídico             
jurisdicție          jurisdicción         
justifica            justificar           
justiția             justicia             
justiție             justicia             
juvenil              juvenil              
ketch                queche               
kibbutz              kibutz               
labarum              lábaro               
labiat               labios               
labil                lábil                
labirint             laberinto            
laborios             laborioso            
lac                  lago                 
lacerație            laceración           
laconic              lacónico             
lăcrămos             lacrimoso            
lacrimosa            lacrimosa            
lactat               lácteo               
lactate              lácteo               
lactescent           lactescente          
lactic               láctico              
lagună               laguna               
lama                 lama                 
lamentație           lamentación          
lamentațiune         lamentación          
lamento              lamento              
lamină               lámina               
lână                 lana                 
lance                lanza                
lanceolat            lanceoladas          
lană                 lana                 
lapidar              lapidario            
lapidariu            lapidario            
lăptar               lechero              
lăptoasă             lechoso              
lăptos               lechoso              
lar                  lar                  
larvă                larva                
larvi                larva                
lăsa                 dejar                
lasciv               lascivo              
laser                láser                
latent               latente              
lateral              lateral              
lateralitate         lateralidad          
latex                látex                
latin                latín                
latină               latín                
latini               latín                
latinitate           latinidad            
latinizat            latinizado           
latitudine           latitud              
latrină              letrina              
latură               lado                 
lavă                 lava                 
lavand               lavanda              
lavandă              lavanda              
lax                  laxo                 
lazană               lasaña               
lazane               lasaña               
leader               líder                
lecitină             lecitina             
lecție               lección              
lectură              lectura              
legal                legal                
legatar              legatario            
legatară             legatario            
legație              legación             
legendă              leyenda              
legionar             legionario           
legislație           legislación          
legislațiune         legislación          
legislator           legislador           
legitim              legítimo             
legitima             legítimo             
legiune              legión               
leguminoasă          legumbre             
leguminos            leguminoso           
lemur                lémur                
lemurii              lémures              
lenitiv              lenitivo             
lent                 lento                
lentă                lento                
lenticular           lenticular           
lentigo              lentigo              
leopard              leopardo             
letal                letal                
letargic             letárgico            
letargie             letargo              
leziune              lesión               
liană                liana                
libație              libación             
libațiune            libación             
liber                libre                
libera               libre                
liberal              liberal              
libert               libertad             
libertate            libertad             
libertin             libertino            
libido               libido               
librar               librero              
libret               libreto              
licență              licencia             
licențios            licencioso           
lichen               liquen               
lichid               líquido              
lichior              licor                
licit                lícito               
lictar               electuario           
lictor               lictor               
lider                líder                
ligament             ligamento            
ligatură             ligadura             
ligni                lignito              
lignit               lignito              
lila                 lila                 
liliaceŭ             liliácea             
liliuță              lirio                
limen                limen                
limfă                linfa                
limită               limitar              
limitrof             limítrofe            
limuzină             limusina             
lingotieră           lingotera            
lingou               lingote              
lingvi               lingüistas           
lingvist             lingüista            
lingvistă            lingüista            
lingvistic           lingüístico          
lingvistică          lingüística          
liră                 libra                
listel               listel               
litanie              letanía              
literal              literal              
literar              literario            
literare             literario            
literatură           literatura           
litigant             litigante            
litigantă            litigante            
litigios             litigioso            
litigiu              litigio              
litotritie           litotricia           
litru                litro                
livid                lívido               
livră                libra                
livrea               librea               
local                local                
locomoție            locomoción           
locomotor            locomotora           
locvace              locuaz               
longevitate          longevidad           
longitudine          longitud             
loterie              lotería              
loțiune              loción               
lotus                loto                 
lubricitate          lubricidad           
lucid                lúcido               
lucrativ             lucrativo            
lugher               lugre                
lugubru              lúgubre              
lumbago              lumbago              
lumen                lumen                
lunatic              lunático             
lupă                 lupa                 
lupus                lupus                
lustral              lustral              
lustrație            lustración           
lustrațiune          lustración           
lux                  lujo                 
macera               macerar              
macerație            maceración           
macerațiune          maceración           
macrameu             macramé              
madrepor             madréporas           
mafia                mafia                
mafie                mafia                
magie                magia                
magisteriu           magisterio           
magistral            magistral            
magistrat            magistrado           
magnat               magnate              
magnetic             magnético            
magnific             magnífico            
magnificență         magnificencia        
magnitudine          magnitud             
mahomedan            mahometano           
maiestate            majestad             
maioneză             mayonesa             
majolică             mayólica             
major                mayor                
majordom             mayordomo            
malahit              malaquita            
malar                malar                
malarie              malaria              
maleabil             maleable             
malefic              maléfico             
maleolă              maléolo              
malign               maligno              
malignitate          malignidad           
maliție              malicia              
malț                 malta                
mameluc              mameluco             
mamifer              mamífero             
mamut                mamut                
mandat               mandato              
mandibulă            mandíbula            
mandrină             mandril              
mango                mango                
manie                manía                
manierism            manierismo           
maniheu              maniqueo             
manivelă             manivela             
mantisă              mantisa              
manual               manual               
manuală              manual               
manumis              manumisión           
manumisiune          manumisión           
manuscris            manuscrito           
marabu               marabú               
marabut              marabú               
maraschino           marrasquino          
marcă                marcar               
marcescent           marcescentes         
margarină            margarina            
mărinimie            magnanimidad         
mărinimos            magnánimo            
marino               marino               
marionetă            marioneta            
marital              marital              
maritim              marítimo             
maro                 marrón               
maron                marrón               
marțial              marcial              
martingală           martingala           
martiriu             martirio             
masacra              masacre              
masacrat             masacrado            
masacru              masacre              
masaj                masaje               
mascotă              mascota              
mascul               macho                
mașinație            maquinación          
masticațiune         masticación          
mată                 mate                 
mate                 mate                 
matematic            matemático           
material             material             
matinal              matutino             
matri                matriz               
matrice              matriz               
mătrice              matriz               
matrimonial          matrimonial          
matroană             matrona              
matronă              matrona              
mausoleu             mausoleo             
maxi                 maxi                 
maxilar              maxilar              
maxim                máximo               
maximă               máximo               
maximum              máximo               
meato                meato                
mecanic              mecánico             
mecanism             mecanismo            
meconiu              meconio              
mediastin            mediastino           
mediație             mediación            
mediatoare           mediación            
mediator             mediador             
medicație            medicación           
medicațiune          medicación           
medicină             medicina             
medicinal            medicinal            
mediocritate         mediocridad          
mediocru             mediocre             
medita               meditar              
meditație            meditación           
meditațiune          meditación           
medulo               médula               
megatonă             megatón              
melamină             melamina             
melancolie           melancolía           
membră               miembro              
membrană             membrana             
membru               miembro              
memorabil            memorable            
memorandum           memorando            
memorie              memoria              
memorial             memorial             
memoriu              memoria              
menhir               menhir               
meniu                menú                 
menstre              menstruo             
menstrual            menstrual            
mentă                menta                
mental               mental               
menuet               minué                
mercenar             mercenario           
mercurial            mercurial            
meridian             meridiano            
meridiană            meridiano            
meridional           meridional           
meritoriu            meritorio            
metabolit            metabolito           
metaforă             metáfora             
metal                metal                
metalic              metálico             
metalifer            metalífero           
metaplasmă           metaplasmo           
meticulos            meticuloso           
metil                metilo               
metod                método               
metodă               método               
metonimie            metonimia            
metric               métrico              
metropolitan         metropolitano        
micțiune             micción              
migrat               migrado              
migrațiune           migración            
migrenă              migraña              
milenar              milenario            
milioane             millón               
milion               millón               
milita               militar              
militant             militante            
militar              militar              
miliție              milicia              
mim                  mimo                 
minaret              minarete             
mina                 mina                 
minciună             mentir               
minei                mina                 
mini                 mini                 
miniatură            miniatura            
minim                mínimo               
minimum              mínimo               
minister             ministerio           
ministru             ministro             
miniu                minio                
minor                menor                
mintal               mental               
minus                menos                
minuscul             minúsculo            
minusculă            minúscula            
minut                minuto               
minută               minuto               
mirt                 mirto                
miscelaneu           miscelánea           
miscibil             miscible             
miserere             miserere             
misiune              misión               
mister               misterio             
mistic               místico              
mistică              místico              
mistifica            mistificar           
mistral              mistral              
mitic                mítico               
mitică               mítico               
mitologie            mitología            
mixt                 mixto                
mixta                mixto                
mixte                mixto                
mixtiune             mixto                
mizerabil            miserable            
mizerie              miseria              
moar                 muaré                
mobil                móvil                
mobile               móvil                
mobili               móvil                
mobilitate           movilidad            
moca                 moca                 
mochetă              moqueta              
modă                 moda                 
mode                 modo                 
model                modelo               
moderație            moderación           
moderațiune          moderación           
moderato             moderato             
moderator            moderador            
modern               moderno              
modest               modesto              
modestie             modestia             
modificat            modificado           
modul                módulo               
modulat              modulado             
modulație            modulación           
modulațiune          modulación           
mojar                mortero              
molar                molar                
molare               molar                
moleculă             molécula             
molesta              molestar             
molibden             molibdeno            
molluscum            molusco              
molusc               molusco              
moment               momento              
momentan             momentáneo           
monahal              monacal              
monarh               monarca              
monarhi              monarcas             
monarhie             monarquía            
monedă               moneda               
monetar              monetario            
monoclu              monóculo             
monogam              monógamo             
monogamie            monogamia            
monolingv            monolingüe           
monolit              monolito             
monosilabă           monosílabo           
monsenior            monseñor             
monstru              monstruo             
monstruos            monstruoso           
montan               montaña              
monument             monumento            
monumental           monumental           
moratoriu            moratoria            
morbid               mórbido              
morbific             morbífico            
morgă                morgue               
morsă                morsa                
mortal               mortal               
mortar               mortero              
mortier              mortero              
mortificațiune       mortificación        
morulă               mórula               
motel                motel                
motet                motete               
motocicletă          motocicleta          
motor                motor                
mucilagiu            mucílago             
muftiu               muftí                
multi                muchos               
multicolor           multicolor           
multiform            multiforme           
multiplica           multiplicar          
multiplicabil        multiplicable        
multiplicator        multiplicador        
multiplicitate       multiplicidad        
multiplu             múltiple             
multitudine          multitud             
mundan               mundano              
municipal            municipal            
municipiu            municipio            
muniție              munición             
munițiune            munición             
mural                mural                
muribund             moribundo            
murmura              murmurar             
muschetă             mosquete             
muselină             muselina             
musterian            musteriense          
musulman             musulmán             
mutabil              mudable              
mutabilitate         mutabilidad          
mutație              mutación             
mutila               mutilar              
mutism               mutismo              
mutual               mutuo                
muzeu                museo                
muzică               música               
nacrit               nacrita              
naftă                nafta                
naftalină            naftalina            
naiadă               náyade               
nara                 narrar               
narativ              narrativa            
narator              narrador             
narcis               narciso              
narcotină            narcotina            
nard                 nardo                
natație              natación             
nație                nación               
națiune              nación               
nativ                nativo               
natural              natural              
naturalitate         naturalidad          
naufragiat           naufragado           
naufragiu            naufragio            
nausea               náusea               
nautic               náutico              
nautică              náutico              
naval                naval                
navicular            navicular            
naviga               navegar              
navigabil            navegable            
navigație            navegación           
navigațiune          navegación           
nazal                nasal                
nazală               nasal                
neagă                niega                
nebulos              nebuloso             
nebulozitate         nebulosidad          
necesar              necesario            
necesitate           necesidad            
nectar               néctar               
nectari              néctar               
nectarină            nectarina            
nefritic             nefrítico            
negație              negación             
negativ              negativo             
negativa             negativo             
negligență           negligencia          
neglijent            negligente           
neglijență           negligencia          
negocia              negociar             
negociatoare         negociación          
negociator           negociador           
nematod              nematodo             
neoplazie            neoplasia            
neotenie             neotenia             
net                  neto                 
nete                 neto                 
neto                 neto                 
neuron               neurona              
neutral              neutral              
neutro               neutro               
nex                  nexo                 
nichel               níquel               
nicotină             nicotina             
nidus                nido                 
nihilism             nihilismo            
nimbus               nimbo                
nimfă                ninfa                
nimfe                ninfas               
nișă                 nicho                
nisetru              esturión             
nitro                nitro                
nitros               nitroso              
nobil                noble                
nobila               noble                
nobile               noble                
nobili               noble                
nobiliar             noble                
noctiluca            noctiluca            
nocturn              nocturno             
nocturnă             nocturno             
noduli               nódulos              
nomad                nómada               
nomenclatură         nomenclatura         
nominal              nominal              
nominativ            nominativo           
non                  no                   
nonagenar            nonagenario          
nono                 nono                 
normal               normal               
normand              normando             
notabil              notable              
notar                notario              
notație              notación             
notațiune            notación             
notifica             notificar            
noțiune              noción               
noto                 noto                 
notoriu              notorio              
noutate              novedad              
novă                 nova                 
nova                 nova                 
nubil                núbil                
nucleol              nucléolo             
nucleŭ               núcleo               
nud                  desnudo              
nuda                 desnudo              
nul                  nulo                 
nuli                 nulo                 
numeral              numeral              
numismatic           numismático          
numismatică          numismática          
nupțial              nupcial              
nutație              nutación             
oază                 oasis                
obediență            obediencia           
obelisc              obelisco             
obez                 obeso                
obezi                obeso                
obezitate            obesidad             
obiect               objeto               
obiecție             objeción             
oblat                oblato               
oblație              oblato               
oblic                oblicuo              
oblica               oblicuo              
oblici               oblicuo              
oblicitate           oblicuidad           
obligație            obligación           
obligațiune          obligación           
obligatoriu          obligatorio          
obliterație          obliteración         
oblong               oblongo              
obnubilație          obnubilación         
oboi                 oboe                 
obscen               obsceno              
obscenitate          obscenidad           
obscuritate          oscuridad            
observabil           observable           
observație           observación          
observațiune         observación          
observator           observador           
obsesie              obsesión             
obsesiune            obsesión             
obsidian             obsidiana            
obsidional           obsidional           
obstacol             obstáculo            
obstruat             obstruido            
obstrucție           obstrucción          
obtura               obturar              
obturație            obturación           
obtuz                obtuso               
ocarină              ocarina              
occidental           occidental           
occipital            occipital            
occiput              occipucio            
ocean                océano               
ocru                 ocre                 
octaedru             octaedro             
octant               octante              
octogenar            octogenario          
octombrie            octubre              
ocular               ocular               
ocula                oculares             
ocult                oculto               
oculta               oculto               
ocultație            ocultación           
ocupa                ocupar               
ocupat               ocupado              
ocupație             ocupación            
ocupațional          ocupacional          
odă                  oda                  
odaliscă             odalisca             
odios                odioso               
odorant              odorante             
odorifer             odorífero            
ofertoriu            ofertorio            
oficial              oficial              
